situation,event,sentence_type,subject_01,verb_01,noun_01,preposition_02,clause_01,full_sentence,traditional_chinese
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,There,is,a solution,for that problem,,There is a solution for that problem,那個問題有解決方案。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,The candidate,has,programming skills,in various languages, ,The candidate has programming skills in various languages,這位候選人具備多種程式語言的技能。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,Our team,needs,a developer,with experience in cloud systems,to join our project,Our team needs a developer with experience in cloud systems to join our project,我們的團隊需要一位有雲系統經驗的開發人員加入我們的專案。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,The position,requires,knowledge of,databases and API integration,to be considered for the job,The position requires knowledge of databases and API integration to be considered for the job,這個職位需要具備資料庫和API整合的知識才能被考慮聘用。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,You,will be,working on,new software projects,in the next quarter,You will be working on new software projects in the next quarter,在下一季，你將會參與新的軟體專案。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,a question,about,the coding process,I have a question about the coding process,我對編碼過程有個問題。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,The interviewer,asked,me,about,my experience in Java,The interviewer asked me about my experience in Java,面試官問我關於我在Java方面的經驗。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,There,are,many candidates for,this position,who have relevant experience,There are many candidates for this position who have relevant experience,這個職位有很多候選人具有相關經驗。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,We,use,databases,in,our daily tasks,We use databases in our daily tasks,我們在日常任務中使用資料庫。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,He,gave,a presentation on,the new software,,He gave a presentation on the new software,他做了一個關於新軟體的簡報。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,a question,about,the coding process,I have a question about the coding process,我對編碼過程有個問題。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,The interviewer,asked,me,about,my experience in Java,The interviewer asked me about my experience in Java,面試官問我關於我在Java方面的經驗。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,There,are,many candidates for,this position,who have relevant experience,There are many candidates for this position who have relevant experience,這個職位有很多候選人具有相關經驗。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,We,use,databases,in,our daily tasks,We use databases in our daily tasks,我們在日常任務中使用資料庫。
IT INTERVIEW,NORMAL QUESTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,He,gave,a presentation on,the new software,,He gave a presentation on the new software,他做了一個關於新軟體的簡報。
